time,vSI,vs
6.25100000000000033,4.99728020032289564e+1,8.13105908332683452e-3
6.25199999999999978,4.99729705102157453e+1,8.16177995358448143e-3
6.25300000000000011,4.9973140312229738e+1,8.19204518226152555e-3
6.25400000000000045,4.99733113990133688e+1,8.22185338435139391e-3
6.25499999999999989,4.99734837602461752e+1,8.2512031994024064e-3
6.25600000000000023,4.99736573855454438e+1,8.28009329161736446e-3
6.25700000000000056,4.99738322644668571e+1,8.30852234995136871e-3
6.25800000000000001,4.99740083865050408e+1,8.33648908821250402e-3
6.25900000000000034,4.99741857410942814e+1,8.36399224515362201e-3
6.25999999999999979,4.99743643176090799e+1,8.39103058457131915e-3
6.26100000000000012,4.99745441053648065e+1,8.41760289539706871e-3
6.26200000000000045,4.99747250936183747e+1,8.44370799178844993e-3
6.2629999999999999,4.99749072715688456e+1,8.46934471322183247e-3
6.26400000000000023,4.99750906283580747e+1,8.49451192458054553e-3
6.26500000000000057,4.9975275153071351e+1,8.5192085162424519e-3
6.26600000000000001,4.99754608347380866e+1,8.5434334041653414e-3
6.26700000000000035,4.99756476623324417e+1,8.5671855299734815e-3
6.26799999999999979,4.99758356247739428e+1,8.59046386104024041e-3
6.26900000000000013,4.99760247109282432e+1,8.61326739056718707e-3
6.27000000000000046,4.99762149096077053e+1,8.63559513766852874e-3
6.27099999999999991,4.99764062095720689e+1,8.65744614744740938e-3
6.27200000000000024,4.99765985995291686e+1,8.6788194910720224e-3
6.27299999999999969,4.99767920681355591e+1,8.69971426585319091e-3
6.27400000000000002,4.99769866039972399e+1,8.72012959531685665e-3
6.27500000000000036,4.99771821956702809e+1,8.74006462927774154e-3
6.2759999999999998,4.99773788316615324e+1,8.75951854390920673e-3
6.27700000000000014,4.99775765004293078e+1,8.77849054181227204e-3
6.27800000000000047,4.99777751903840795e+1,8.79697985208338119e-3
6.27899999999999991,4.99779748898891256e+1,8.81498573038070991e-3
6.28000000000000025,4.99781755872612834e+1,8.8325074589868293e-3
6.28099999999999969,4.99783772707715883e+1,8.84954434687350994e-3
6.28200000000000003,4.99785799286460204e+1,8.86609572975963732e-3
6.28300000000000036,4.9978783549066172e+1,8.88216097017286918e-3
6.28399999999999981,4.99789881201699373e+1,8.89773945750635918e-3
6.28500000000000014,4.99791936300523005e+1,8.91283060807263397e-3
6.28600000000000048,4.99794000667659049e+1,8.92743386516183998e-3
6.28699999999999992,4.99796074183218977e+1,8.94154869908847863e-3
6.28800000000000026,4.9979815672690556e+1,8.95517460724632765e-3
6.2889999999999997,4.9980024817802061e+1,8.9683111141553324e-3
6.29000000000000004,4.998023484154713e+1,8.98095777150914772e-3
6.29100000000000037,4.99804457317778201e+1,8.99311415821916343e-3
6.29199999999999982,4.99806574763082239e+1,9.00477988045808413e-3
6.29300000000000015,4.99808700629151872e+1,9.01595457170304218e-3
6.29400000000000048,4.99810834793389773e+1,9.02663789277494133e-3
